Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,32289721635,34082924527,30829787036
매출원가,25271838030,28880056105,25834805473
매출총이익,7017883605,5202868422,4994981563
판매비와관리비,5165913837,4178951179,4916245043
영업이익(손실),1851969768,1023917243,78736520
금융수익,1288033055,925096993,1309452288
금융비용,828787669,1931126557,187330978
지분법이익,24389905,23186751,22825948
기타수익,286303947,406939764,402803720
기타비용,231308015,320415812,338673895
법인세비용차감전순이익,2390600991,127598382,1287813603
법인세비용(수익),"(203,464,285)","(64,818,872)","(322,828,546)"
당기순이익(손실),2594065276,192417254,1610642149
당기순이익(손실)의 귀속,,,
지배기업소유지분,2594065276,192417254,1610642149
비지배지분,,,
기타포괄손익,2844336509,"(414,438,555)",577052873
후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,2844336509,"(414,438,555)",577052873
기타포괄손익-공정가치측정금융자산평가손익,2844336509,"(414,438,555)",577052873
총포괄손익,5438401785,"(222,021,301)",2187695022
포괄손익의 귀속,,,
지배기업소유지분,5438401785,"(222,021,301)",2187695022
비지배지분,,,
주당이익,,,
기본주당이익(손실) (단위 : 원),330,24,207
희석주당이익(손실) (단위 : 원),330,24,207
